[TIME]2015-12-25 08:12:23 ERROR:syntax error, unexpected 'download' (T_STRING)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 16
[TIME]2015-12-25 08:12:25 ERROR:syntax error, unexpected 'download' (T_STRING)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 16
[TIME]2015-12-25 08:12:32 ERROR:syntax error, unexpected 'download' (T_STRING)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 19
[TIME]2015-12-25 08:12:32 ERROR:syntax error, unexpected 'download' (T_STRING)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 19
[TIME]2015-12-25 08:12:51 ERROR:syntax error, unexpected 'download' (T_STRING)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 17
[TIME]2015-12-25 08:12:19 ERROR:syntax error, unexpected '$message' (T_VARIABLE)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 18
[TIME]2015-12-25 08:12:20 ERROR:syntax error, unexpected '$message' (T_VARIABLE)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 18
[TIME]2015-12-25 08:12:21 ERROR:syntax error, unexpected '$message' (T_VARIABLE)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 18
[TIME]2015-12-25 08:12:34 ERROR:syntax error, unexpected 'break' (T_BREAK)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 19
[TIME]2015-12-25 08:12:35 ERROR:syntax error, unexpected 'break' (T_BREAK)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 19
[TIME]2015-12-25 08:12:39 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:39 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:05 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:11 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:14 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:15 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 21
[TIME]2015-12-25 08:12:55 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 22
[TIME]2015-12-25 08:12:01 ERROR:syntax error, unexpected 'default' (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 20
[TIME]2015-12-25 08:12:02 ERROR:syntax error, unexpected 'default' (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 20
[TIME]2015-12-25 08:12:02 ERROR:syntax error, unexpected 'default' (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 20
[TIME]2015-12-25 08:12:06 ERROR:syntax error, unexpected '}', expecting endswitch (T_ENDSWITCH) or case (T_CASE) or default (T_DEFAULT)<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 22
[TIME]2015-12-25 08:12:52 ERROR:G:/WWW/PHPCore/Index/Tpl/dom/Index.html模板文件不存在
[TIME]2015-12-25 08:12:54 ERROR:G:/WWW/PHPCore/Index/Tpl/dom/Index.html模板文件不存在
[TIME]2015-12-25 08:12:52 ERROR:Call to undefined function allTool()<br>G:\WWW\PHPCore\Index\Controller\IndexController.class.php  in 19
